adidas 										ADS.DE
Allianz 									ALV.DE
BASF										BAS.DE
Bayer										BAYN.DE
Beiersdorf									BEI.DE
BMW											BMW.DE
Continental									CON.DE
Covestro									1COV.DE
Daimler										DAI.DE
Deutsche Bank								DBK.DE
Deutsche Börse								DB1.DE
Deutsche Post								DPW.DE
Deutsche Telekom							DTE.DE
E.ON										EOAN.DE
Fresenius									FRE.DE
Fresenius Medical Care						FME.DE
HeidelbergCement							HEI.DE
Henkel vz.									HEN3.DE
Infineon									IFX.DE
Linde										LIN.DE
Lufthansa									LHA.DE
Merck										MRK.DE
MTU Aero Engines							MTX.F
Münchener Rückversicherungs-Gesellschaft	MUV2.DE
RWE											RWE.DE
SAP											SAP.DE
Siemens										SIE.DE
Volkswagen (VW) vz.							VOW3.DE
Vonovia										VNA.DE
Wirecard									WDI.DE

